Data da Venda;Região;Vendedor;Seção;Vendas;Comissões
02/01/2010;Centro;Simone;Cama, Mesa e Banho;R$ 4.135,06;R$ 82,70
02/01/2010;Oeste;Ana Maria;Eletrodomésticos;R$ 1.409,31;R$ 28,19
03/01/2010;Sul;Carolina;Eletrônicos;R$ 363,44;R$ 7,27
04/01/2010;Nordeste;João Carlos;Cine e Foto;R$ 399,76;R$ 8,00
05/01/2010;Sudeste;Carolina;Cama, Mesa e Banho;R$ 814,39;R$ 16,29
05/01/2010;Oeste;Ricardo;Casa e Construção;R$ 2.870,73;R$ 57,41
05/01/2010;Sul;Ana Maria;Cine e Foto;R$ 1.102,66;R$ 22,05
06/01/2010;Centro;Ana Maria;Móveis e Decoração;R$ 2.575,83;R$ 51,52
06/01/2010;Sul;Ana Maria;Eletrônicos;R$ 3.193,66;R$ 63,87
08/01/2010;Centro;Carolina;Eletrônicos;R$ 324,90;R$ 6,50
08/01/2010;Centro;Roberto;Esporte e Lazer;R$ 2.183,97;R$ 43,68
10/01/2010;Nordeste;Carolina;Cama, Mesa e Banho;R$ 622,01;R$ 12,44
11/01/2010;Sul;Ana Maria;Cama, Mesa e Banho;R$ 2.231,92;R$ 44,64
11/01/2010;Centro;Adriana;Eletrônicos;R$ 2.542,59;R$ 50,85
11/01/2010;Leste;Carolina;Casa e Construção;R$ 4.855,44;R$ 97,11
12/01/2010;Sudeste;João Carlos;Utilidades Domésticas;R$ 3.780,35;R$ 75,61
12/01/2010;Sul;Ana Maria;Esporte e Lazer;R$ 1.840,98;R$ 36,82
16/01/2010;Norte;João Carlos;Casa e Construção;R$ 2.546,93;R$ 50,94
16/01/2010;Oeste;Carolina;Móveis e Decoração;R$ 1.322,58;R$ 26,45
16/01/2010;Centro;Carolina;Roupas e Acessórios;R$ 4.284,20;R$ 85,68
16/01/2010;Nordeste;Simone;Móveis e Decoração;R$ 4.475,25;R$ 89,51
16/01/2010;Sudeste;Carolina;Eletrônicos;R$ 2.666,45;R$ 53,33
16/01/2010;Centro;Carolina;Cama, Mesa e Banho;R$ 2.725,30;R$ 54,51
18/01/2010;Nordeste;Ricardo;Casa e Construção;R$ 4.925,77;R$ 98,52
19/01/2010;Nordeste;Carolina;Eletrônicos;R$ 3.727,13;R$ 74,54
19/01/2010;Nordeste;Ana Maria;Cine e Foto;R$ 2.628,42;R$ 52,57
21/01/2010;Sudeste;Carolina;Utilidades Domésticas;R$ 818,46;R$ 16,37
22/01/2010;Sul;João Carlos;Eletrônicos;R$ 4.491,09;R$ 89,82
23/01/2010;Centro;Ricardo;Cama, Mesa e Banho;R$ 2.424,22;R$ 48,48
24/01/2010;Leste;Carolina;Móveis e Decoração;R$ 4.363,02;R$ 87,26
24/01/2010;Sul;Roberto;Eletrodomésticos;R$ 4.928,01;R$ 98,56
24/01/2010;Sudeste;Carolina;Utilidades Domésticas;R$ 4.764,84;R$ 95,30
25/01/2010;Centro;Roberto;Roupas e Acessórios;R$ 4.920,82;R$ 98,42
26/01/2010;Sudeste;Simone;Eletrônicos;R$ 4.647,49;R$ 92,95
26/01/2010;Centro;João Carlos;Cama, Mesa e Banho;R$ 1.089,47;R$ 21,79
26/01/2010;Nordeste;João Carlos;Esporte e Lazer;R$ 4.489,94;R$ 89,80
28/01/2010;Sul;José Luiz;Cama, Mesa e Banho;R$ 3.009,49;R$ 60,19
28/01/2010;Norte;Ricardo;Cine e Foto;R$ 1.963,00;R$ 39,26
28/01/2010;Centro;Ana Maria;Roupas e Acessórios;R$ 4.375,52;R$ 87,51
29/01/2010;Centro;Ricardo;Cine e Foto;R$ 2.942,77;R$ 58,86
29/01/2010;Centro;José Luiz;Cama, Mesa e Banho;R$ 1.432,64;R$ 28,65
30/01/2010;Nordeste;Carolina;Eletrônicos;R$ 1.017,62;R$ 20,35
30/01/2010;Oeste;Ana Maria;Eletrônicos;R$ 390,03;R$ 7,80
30/01/2010;Sul;Ana Maria;Eletrodomésticos;R$ 2.927,62;R$ 58,55
31/01/2010;Sudeste;Ricardo;Roupas e Acessórios;R$ 2.951,67;R$ 59,03
01/02/2010;Oeste;Carolina;Cama, Mesa e Banho;R$ 3.956,24;R$ 79,12
02/02/2010;Sudeste;João Carlos;Esporte e Lazer;R$ 2.359,56;R$ 47,19
02/02/2010;Oeste;Ana Maria;Cama, Mesa e Banho;R$ 1.219,08;R$ 24,38
02/02/2010;Sul;Carolina;Cine e Foto;R$ 3.918,15;R$ 78,36
04/02/2010;Sudeste;José Luiz;Cine e Foto;R$ 3.431,24;R$ 68,62
05/02/2010;Centro;Carolina;Eletrônicos;R$ 4.863,33;R$ 97,27
06/02/2010;Leste;Adriana;Eletrodomésticos;R$ 4.249,10;R$ 84,98
06/02/2010;Nordeste;Ricardo;Móveis e Decoração;R$ 4.909,82;R$ 98,20
07/02/2010;Nordeste;Ana Maria;Móveis e Decoração;R$ 4.010,53;R$ 80,21
07/02/2010;Norte;Ana Maria;Esporte e Lazer;R$ 4.640,33;R$ 92,81
09/02/2010;Sudeste;Roberto;Eletrodomésticos;R$ 695,78;R$ 13,92
09/02/2010;Leste;Ricardo;Utilidades Domésticas;R$ 2.019,00;R$ 40,38
10/02/2010;Norte;Roberto;Roupas e Acessórios;R$ 4.641,17;R$ 92,82
10/02/2010;Sudeste;Carolina;Esporte e Lazer;R$ 2.754,56;R$ 55,09
11/02/2010;Norte;João Carlos;Utilidades Domésticas;R$ 4.263,76;R$ 85,28
11/02/2010;Sudeste;João Carlos;Eletrodomésticos;R$ 4.282,78;R$ 85,66
12/02/2010;Norte;Carolina;Eletrônicos;R$ 2.827,14;R$ 56,54
12/02/2010;Centro;Roberto;Eletrônicos;R$ 2.324,41;R$ 46,49
13/02/2010;Sudeste;Carolina;Eletrodomésticos;R$ 2.384,59;R$ 47,69
13/02/2010;Centro;Ricardo;Casa e Construção;R$ 3.607,23;R$ 72,14
13/02/2010;Oeste;Carolina;Cama, Mesa e Banho;R$ 1.045,71;R$ 20,91
13/02/2010;Norte;Roberto;Esporte e Lazer;R$ 3.064,67;R$ 61,29
13/02/2010;Nordeste;Carolina;Eletrônicos;R$ 2.592,96;R$ 51,86
15/02/2010;Sudeste;João Carlos;Cine e Foto;R$ 4.785,79;R$ 95,72
15/02/2010;Sul;Simone;Casa e Construção;R$ 4.427,87;R$ 88,56
16/02/2010;Sul;Roberto;Eletrônicos;R$ 3.420,61;R$ 68,41
16/02/2010;Leste;Ricardo;Utilidades Domésticas;R$ 1.250,81;R$ 25,02
17/02/2010;Sudeste;Ricardo;Utilidades Domésticas;R$ 2.033,53;R$ 40,67
17/02/2010;Norte;Ricardo;Cine e Foto;R$ 2.015,16;R$ 40,30
17/02/2010;Centro;Adriana;Eletrônicos;R$ 3.431,01;R$ 68,62
18/02/2010;Centro;Simone;Utilidades Domésticas;R$ 4.502,80;R$ 90,06
18/02/2010;Norte;João Carlos;Roupas e Acessórios;R$ 4.527,20;R$ 90,54
19/02/2010;Nordeste;Roberto;Eletrodomésticos;R$ 3.041,97;R$ 60,84
21/02/2010;Centro;João Carlos;Utilidades Domésticas;R$ 4.063,99;R$ 81,28
21/02/2010;Oeste;Ricardo;Eletrônicos;R$ 434,65;R$ 8,69
21/02/2010;Centro;Adriana;Eletrônicos;R$ 1.006,11;R$ 20,12
21/02/2010;Sul;Ricardo;Esporte e Lazer;R$ 3.427,76;R$ 68,56
26/02/2010;Norte;Ricardo;Casa e Construção;R$ 4.433,51;R$ 88,67
27/02/2010;Sudeste;Ana Maria;Casa e Construção;R$ 2.827,28;R$ 56,55
27/02/2010;Sudeste;João Carlos;Casa e Construção;R$ 2.852,32;R$ 57,05
28/02/2010;Centro;Carolina;Cama, Mesa e Banho;R$ 3.245,26;R$ 64,91
28/02/2010;Centro;Carolina;Esporte e Lazer;R$ 2.438,41;R$ 48,77
01/03/2010;Nordeste;Ricardo;Cama, Mesa e Banho;R$ 4.169,38;R$ 83,39
01/03/2010;Leste;Ricardo;Esporte e Lazer;R$ 1.820,60;R$ 36,41
01/03/2010;Oeste;Ricardo;Móveis e Decoração;R$ 1.982,63;R$ 39,65
01/03/2010;Sul;Ricardo;Cine e Foto;R$ 2.911,14;R$ 58,22
02/03/2010;Sul;João Carlos;Eletrônicos;R$ 749,42;R$ 14,99
02/03/2010;Centro;Carolina;Cama, Mesa e Banho;R$ 2.598,33;R$ 51,97
03/03/2010;Nordeste;João Carlos;Eletrônicos;R$ 2.501,77;R$ 50,04
04/03/2010;Centro;Ricardo;Esporte e Lazer;R$ 4.227,02;R$ 84,54
05/03/2010;Centro;Ana Maria;Eletrodomésticos;R$ 3.063,11;R$ 61,26
05/03/2010;Centro;Carolina;Roupas e Acessórios;R$ 4.289,13;R$ 85,78
05/03/2010;Sudeste;Adriana;Utilidades Domésticas;R$ 4.821,01;R$ 96,42
05/03/2010;Oeste;Ricardo;Móveis e Decoração;R$ 233,04;R$ 4,66
06/03/2010;Sul;Ricardo;Roupas e Acessórios;R$ 2.480,03;R$ 49,60
08/03/2010;Centro;Ricardo;Eletrodomésticos;R$ 2.316,82;R$ 46,34
08/03/2010;Nordeste;José Luiz;Eletrônicos;R$ 368,35;R$ 7,37
10/03/2010;Norte;João Carlos;Eletrônicos;R$ 4.332,31;R$ 86,65
11/03/2010;Sudeste;Carolina;Utilidades Domésticas;R$ 3.923,18;R$ 78,46
11/03/2010;Norte;Ana Maria;Eletrodomésticos;R$ 2.039,08;R$ 40,78
11/03/2010;Oeste;Ricardo;Esporte e Lazer;R$ 828,14;R$ 16,56
12/03/2010;Sudeste;Carolina;Esporte e Lazer;R$ 3.014,41;R$ 60,29
12/03/2010;Nordeste;Carolina;Cine e Foto;R$ 376,41;R$ 7,53
14/03/2010;Sul;Carolina;Utilidades Domésticas;R$ 4.712,12;R$ 94,24
16/03/2010;Norte;Adriana;Móveis e Decoração;R$ 1.254,81;R$ 25,10
18/03/2010;Sudeste;Ana Maria;Eletrodomésticos;R$ 1.478,63;R$ 29,57
18/03/2010;Norte;Simone;Roupas e Acessórios;R$ 1.187,07;R$ 23,74
19/03/2010;Nordeste;Ana Maria;Eletrodomésticos;R$ 305,58;R$ 6,11
20/03/2010;Centro;Simone;Cama, Mesa e Banho;R$ 829,61;R$ 16,59
20/03/2010;Nordeste;João Carlos;Cine e Foto;R$ 4.803,57;R$ 96,07
20/03/2010;Sul;José Luiz;Utilidades Domésticas;R$ 1.444,03;R$ 28,88
20/03/2010;Sul;Ricardo;Eletrônicos;R$ 2.205,99;R$ 44,12
21/03/2010;Sul;Ana Maria;Casa e Construção;R$ 4.797,13;R$ 95,94
21/03/2010;Sul;Roberto;Esporte e Lazer;R$ 3.747,44;R$ 74,95
22/03/2010;Sudeste;Ana Maria;Eletrônicos;R$ 1.179,97;R$ 23,60
22/03/2010;Sudeste;João Carlos;Utilidades Domésticas;R$ 1.475,02;R$ 29,50
22/03/2010;Leste;Simone;Roupas e Acessórios;R$ 3.378,07;R$ 67,56
22/03/2010;Sudeste;João Carlos;Casa e Construção;R$ 1.013,01;R$ 20,26
23/03/2010;Oeste;Carolina;Eletrodomésticos;R$ 1.711,37;R$ 34,23
23/03/2010;Leste;Ana Maria;Cama, Mesa e Banho;R$ 1.941,19;R$ 38,82
25/03/2010;Sul;João Carlos;Esporte e Lazer;R$ 3.462,17;R$ 69,24
25/03/2010;Leste;Ana Maria;Eletrodomésticos;R$ 3.025,09;R$ 60,50
26/03/2010;Sudeste;José Luiz;Roupas e Acessórios;R$ 2.692,83;R$ 53,86
26/03/2010;Centro;Roberto;Móveis e Decoração;R$ 1.655,22;R$ 33,10
27/03/2010;Sul;Ana Maria;Cama, Mesa e Banho;R$ 1.056,31;R$ 21,13
27/03/2010;Norte;Carolina;Casa e Construção;R$ 2.832,11;R$ 56,64
27/03/2010;Nordeste;João Carlos;Cine e Foto;R$ 931,47;R$ 18,63
29/03/2010;Sul;Simone;Casa e Construção;R$ 3.209,07;R$ 64,18
29/03/2010;Sudeste;Ricardo;Cama, Mesa e Banho;R$ 2.127,83;R$ 42,56
30/03/2010;Leste;Ricardo;Casa e Construção;R$ 3.471,48;R$ 69,43
30/03/2010;Sudeste;Roberto;Móveis e Decoração;R$ 2.606,85;R$ 52,14
31/03/2010;Nordeste;Carolina;Móveis e Decoração;R$ 771,32;R$ 15,43
31/03/2010;Sul;João Carlos;Casa e Construção;R$ 1.225,62;R$ 24,51
31/03/2010;Sudeste;João Carlos;Cine e Foto;R$ 308,67;R$ 6,17
02/04/2010;Sudeste;José Luiz;Cama, Mesa e Banho;R$ 3.848,72;R$ 76,97
02/04/2010;Norte;Carolina;Móveis e Decoração;R$ 430,13;R$ 8,60
03/04/2010;Norte;Carolina;Utilidades Domésticas;R$ 815,42;R$ 16,31
03/04/2010;Leste;Carolina;Casa e Construção;R$ 2.981,18;R$ 59,62
05/04/2010;Oeste;João Carlos;Roupas e Acessórios;R$ 246,01;R$ 4,92
05/04/2010;Oeste;Ricardo;Cine e Foto;R$ 2.241,81;R$ 44,84
06/04/2010;Oeste;Simone;Roupas e Acessórios;R$ 710,98;R$ 14,22
06/04/2010;Sul;Ricardo;Esporte e Lazer;R$ 1.446,37;R$ 28,93
06/04/2010;Centro;Carolina;Esporte e Lazer;R$ 2.303,66;R$ 46,07
07/04/2010;Nordeste;Ana Maria;Casa e Construção;R$ 4.768,11;R$ 95,36
07/04/2010;Sudeste;Ana Maria;Cama, Mesa e Banho;R$ 3.080,76;R$ 61,62
08/04/2010;Oeste;Ricardo;Utilidades Domésticas;R$ 1.968,14;R$ 39,36
